training/alpha_loss,eval/episode_success,eval/episode_reward_dist,eval/episode_reward_near,step,eval/episode_success_hard,eval/episode_success_any,render,training/log_alpha,training/entropy,training/sps,training/critic_loss,_runtime,eval/episode_success_easy,_step,eval/episode_reward,eval/episode_reward_ctrl,eval/episode_dist,training/actor_loss,eval/episode_reward_survive,_timestamp
0.0,970.2900390625,-29.984256744384766,0.0,21395456.0,0.0,1.0,"{'sha256': '14d007e106186e7ba429caca5eb0f1d441dab31a75fd550033a4fe409ebef80a', 'path': 'media/html/render_21395456_14d007e106186e7ba429.html', 'size': 866153, '_type': 'html-file'}",0.0,0.0,51359.444419622916,4.051530838012695,665.219289593,0.0,21395456.0,970.2900390625,0.0,29.984256744384766,-44.39869689941406,0.0,1774111435.3975255
0.0,965.3193359375,-30.86920166015625,0.0,21649408.0,0.0,1.0,,0.0,0.0,51390.49058366158,4.040485858917236,671.100646909,0.0,21649408.0,965.3193359375,0.0,30.86920166015625,-44.41617965698242,0.0,1774111435.5748758
0.0,957.029296875,-30.696250915527344,0.0,21903360.0,0.0,1.0,,0.0,0.0,51015.12027760146,4.026773452758789,676.77090331,0.0,21903360.0,957.029296875,0.0,30.696250915527344,-44.38591766357422,0.0,1774111441.2782178
0.0,964.5322265625,-32.80344772338867,0.0,22157312.0,0.0,1.0,,0.0,0.0,51283.30764195759,4.017724514007568,682.470338094,0.0,22157312.0,964.5322265625,0.0,32.80344772338867,-44.43821334838867,0.0,1774111446.948552
0.0,920.994140625,-33.015689849853516,0.0,22411264.0,0.0,0.9970703125,,0.0,0.0,51229.70009157987,4.017992973327637,688.140072598,0.0,22411264.0,920.994140625,0.0,33.015689849853516,-44.42860412597656,0.0,1774111452.6480026
0.0,945.7763671875,-35.251747131347656,0.0,22665216.0,0.0,0.9990234375,"{'path': 'media/html/render_22665216_348180c6bccec8566a8b.html', 'size': 872853, '_type': 'html-file', 'sha256': '348180c6bccec8566a8be771eed3c9ad745e708231dc99e09b65c7f7b627f485'}",0.0,0.0,51309.125305992406,4.015352725982666,703.364503824,0.0,22665216.0,945.7763671875,0.0,35.251747131347656,-44.39601516723633,0.0,1774111473.542726
0.0,971.1376953125,-29.842458724975586,0.0,22919168.0,0.0,1.0,,0.0,0.0,51218.36842355561,4.084532737731934,709.23901438,0.0,22919168.0,971.1376953125,0.0,29.842458724975586,-44.38667678833008,0.0,1774111473.7244189
0.0,968.5634765625,-33.11731719970703,0.0,23173120.0,0.0,1.0,,0.0,0.0,51110.97198045008,4.061550140380859,714.910867106,0.0,23173120.0,968.5634765625,0.0,33.11731719970703,-44.352752685546875,0.0,1774111479.4165003
0.0,964.58203125,-31.417377471923828,0.0,23427072.0,0.0,1.0,,0.0,0.0,51292.73149878574,4.041431427001953,720.577234815,0.0,23427072.0,964.58203125,0.0,31.417377471923828,-44.358184814453125,0.0,1774111485.088362
0.0,969.1689453125,-30.905799865722656,0.0,23681024.0,0.0,1.0,,0.0,0.0,51326.91708613009,4.053643226623535,726.251930585,0.0,23681024.0,969.1689453125,0.0,30.905799865722656,-44.38871765136719,0.0,1774111490.7550452
