eval/episode_reward_survive,training/critic_loss,training/actor_loss,render,training/alpha_loss,_timestamp,_step,eval/episode_dist,eval/episode_success_easy,eval/episode_success,eval/episode_reward_ctrl,eval/episode_success_hard,step,training/log_alpha,eval/episode_success_any,training/entropy,eval/episode_reward_dist,eval/episode_reward_near,eval/episode_reward,_runtime,training/sps
0.0,6.11433961239527e-06,-0.0004410069086588919,"{'size': 4711009.0, '_type': 'html-file', 'sha256': 'dc8b3b4297d716853bf0e1a0752ae569d3e7731a2fa96b6b7d6bb3f09c7d7e16', 'path': 'media/html/render_36092928_dc8b3b4297d716853bf0.html'}",3.1665142730119555e-11,1774003736.698849,36092928.0,220.4923095703125,17.447265625,0.0,0.0,0.0,36092928.0,0.0,0.0,0.0,0.0,0.0,0.0,3058.350665642,21893.55333596402
0.0,5.748259354731999e-06,-0.0005026647704653442,,3.1665337019148865e-11,1774003736.9246204,36346880.0,218.5069122314453,18.041015625,0.01171875,0.0,0.0,36346880.0,0.0,0.001953125,0.0,0.0,0.0,0.01171875,3074.187205344,21885.403112486518
0.0,3.914618901035283e-06,-0.00036754566826857626,,3.1670912420400654e-11,1774003752.5347722,36600832.0,217.12252807617188,18.2421875,0.0,0.0,0.0,36600832.0,0.0,0.0,0.0,0.0,0.0,0.0,3089.741183537,21825.664231003495
0.0,4.770065061165951e-06,-0.00041637124377302825,,3.1662727995040996e-11,1774003768.0888205,36854784.0,220.14373779296875,17.505859375,0.005859375,0.0,0.0,36854784.0,0.0,0.001953125,0.0,0.0,0.0,0.005859375,3105.306771305,21910.26500745069
0.0,5.1367705964366905e-06,-0.0004041192296426743,,3.1656743199048876e-11,1774003783.65433,37108736.0,219.8775634765625,16.771484375,0.0,0.0,0.0,37108736.0,0.0,0.0,0.0,0.0,0.0,0.0,3120.879552828,21898.98538906563
0.0,5.870114819117589e-06,-0.00046305544674396515,"{'size': 4710129.0, '_type': 'html-file', 'sha256': '67fc1e432e3a91d84935631d7b947bab949386299da7f2f67f9309bd56adc14f', 'path': 'media/html/render_37362688_67fc1e432e3a91d84935.html'}",3.1659740801215364e-11,1774003842.0585527,37362688.0,227.6559600830078,15.298828125,0.0,0.0,0.0,37362688.0,0.0,0.0,0.0,0.0,0.0,0.0,3163.710327431,21883.861739356613
0.0,5.381738901633071e-06,-0.0004581150715239346,,3.166357454009727e-11,1774003842.2850287,37616640.0,223.1188201904297,16.171875,0.0,0.0,0.0,37616640.0,0.0,0.0,0.0,0.0,0.0,0.0,3179.549527621,21889.05822158576
0.0,4.7712492232676595e-06,-0.0004592515469994396,,3.1661628180357226e-11,1774003857.8967447,37870592.0,218.51214599609375,19.3046875,0.0,0.0,0.0,37870592.0,0.0,0.0,0.0,0.0,0.0,0.0,3195.116594832,21826.58912579804
0.0,8.314224942296278e-06,-0.0005731240380555391,,3.166291881462335e-11,1774003873.4644136,38124544.0,213.74649047851562,20.056640625,0.0,0.0,0.0,38124544.0,0.0,0.0,0.0,0.0,0.0,0.0,3210.676586621,21886.846210775453
0.0,5.381224127631867e-06,-0.0005510360351763666,,3.1665264160762874e-11,1774003889.0242312,38378496.0,212.0163116455078,19.7890625,0.0,0.0,0.0,38378496.0,0.0,0.0,0.0,0.0,0.0,0.0,3226.236896649,21907.852246705243
