eval/episode_success_easy,training/sps,_timestamp,training/critic_loss,eval/episode_success,eval/episode_success_hard,eval/episode_reward_dist,_runtime,_step,training/log_alpha,render,training/entropy,step,eval/episode_reward_survive,eval/episode_success_any,training/actor_loss,training/alpha_loss,eval/episode_reward,eval/episode_reward_near,eval/episode_dist,eval/episode_reward_ctrl
299.6708984375,22510.65520225465,1773953730.1964364,0.7333983778953552,287.6875,0.0,0.0,2895.467118211,23427072.0,0.0,,0.0,23427072.0,976.2919921875,0.3310546875,-50.21236038208008,-5.869505548616871e-05,287.6875,0.0,6097.11376953125,-1685.113037109375
304.849609375,22487.08395000557,1773953755.7531464,0.7079998254776001,288.962890625,0.0,0.0,2920.875021067,23681024.0,0.0,,0.0,23681024.0,957.49609375,0.3388671875,-50.5944938659668,-5.7011176977539435e-05,288.962890625,0.0,5880.634765625,-1667.4410400390625
290.4228515625,22570.70567277758,1773953834.1773324,0.6770877242088318,277.376953125,0.0,0.0,2973.8906685,23934976.0,0.0,"{'path': 'media/html/render_23934976_225922b45e26bdbc3563.html', 'size': 3867605.0, '_type': 'html-file', 'sha256': '225922b45e26bdbc3563f7278b75f1da7200cb5dc4460f90ac6232fb6ffb2454'}",0.0,23934976.0,976.6015625,0.328125,-50.404510498046875,1.3824068219037144e-06,277.376953125,0.0,6334.42578125,-1701.4970703125
320.880859375,22424.547723643493,1773953834.3869195,0.7055624127388,307.115234375,0.0,0.0,2999.608857268,24188928.0,0.0,,0.0,24188928.0,972.578125,0.3515625,-51.456199645996094,5.731008423026651e-05,307.115234375,0.0,6166.958984375,-1748.5328369140625
291.2744140625,22408.963144552923,1773953859.8946896,0.6655383706092834,278.31640625,0.0,0.0,3025.094395523,24442880.0,0.0,,0.0,24442880.0,972.841796875,0.318359375,-50.764644622802734,5.0802667828975245e-05,278.31640625,0.0,6469.7705078125,-1693.9931640625
281.73828125,22424.734205485485,1773953885.3802385,0.6631292700767517,270.38671875,0.0,0.0,3050.502695491,24696832.0,0.0,,0.0,24696832.0,949.6875,0.3349609375,-51.200077056884766,6.510634193546139e-06,270.38671875,0.0,6190.669921875,-1664.7874755859375
299.5244140625,22554.666131247955,1773953910.7886007,0.6487703919410706,287.7744140625,0.0,0.0,3076.161770101,24950784.0,0.0,,0.0,24950784.0,968.7646484375,0.333984375,-51.79706573486328,9.802915457157724e-08,287.7744140625,0.0,6429.25,-1599.0035400390625
291.158203125,22472.85080013566,1773953989.294824,0.6517810225486755,264.3642578125,0.0,0.0,3129.008227175,25204736.0,0.0,"{'path': 'media/html/render_25204736_f016cddd78258c2645c9.html', 'size': 3854129.0, '_type': 'html-file', 'sha256': 'f016cddd78258c2645c9bee40421887ed2b51ce6a2328e483453a63ea33f9668'}",0.0,25204736.0,979.1962890625,0.3212890625,-52.178627014160156,-1.840269578678999e-05,264.3642578125,0.0,6493.0615234375,-1824.55517578125
227.1708984375,22613.895669311314,1773953989.539625,0.6514264941215515,205.271484375,0.0,0.0,3154.697551217,25458688.0,0.0,,0.0,25458688.0,910.736328125,0.271484375,-52.20423126220703,4.381681264931103e-06,205.271484375,0.0,6382.13232421875,-1579.957763671875
270.7724609375,22435.22041762989,1773954014.9829063,0.6447347402572632,258.201171875,0.0,0.0,3180.081790857,25712640.0,0.0,,0.0,25712640.0,949.287109375,0.3134765625,-52.523643493652344,-6.644238601438701e-05,258.201171875,0.0,6413.6962890625,-1667.631591796875
